300
50.352301 18.120389 Błękitna 9, Kędzierzyn-Koźle, Poland
51.776747 21.68162 Kownacica 38, 08-460 Kownacica, Poland
50.438379 16.654976 plac Bolesława Chrobrego 5, 57-300 Kłodzko, Poland
52.630158 23.290261 Zaleszany 48, 17-250 Zaleszany, Poland
51.297983 18.260588 Stary Ochędzyn 45, 98-420 Stary Ochędzyn, Poland
54.056266 16.834133 Świerzno 27, 77-207 Świerzno, Poland
53.012922 21.471844 Żerań Duży 1, 07-415 Żerań Duży, Poland
52.07436 16.649619 Boczna 29, 64-000 Kościan, Poland
50.732668 21.65326 Dacharzów 1, 27-612 Dacharzów, Poland
49.958116 18.579001 Henryka Sienkiewicza 4, Jastrzębie-Zdrój, Poland
54.248801 21.260608 Modgarby 15, 11-410 Modgarby, Poland
51.57522 21.241257 Brody 34, 26-631 Brody, Poland
51.862209 20.885412 Wybickiego 3, 05-600 Grójec, Poland
51.758828 20.324203 Komorów 51, 96-214 Komorów, Poland
49.579392 21.059777 Ropa 97, 38-312 Ropa, Poland
52.342483 19.628308 Suserz 27, 09-550 Suserz, Poland
49.665507 19.586756 Zawoja 1990, 34-222 Zawoja, Poland
52.427941 18.15917 Wola Spławiecka 14, 62-540 Wola Spławiecka, Poland
52.326131 17.606315 Gutowo Wielkie 8, 62-300 Gutowo Wielkie, Poland
51.007108 19.947521 Boża Wola 33, 29-120 Boża Wola, Poland
53.657105 17.941471 Zielona Łąka 1, 89-504 Zielona Łąka, Poland
53.217864 21.024354 Olszewka 149, 06-323 Olszewka, Poland
50.54192 20.995842 Podlesie 37, 28-142 Podlesie, Poland
52.069359 20.440154 Jana Skrowaczewskiego 1, Żyrardów, Poland
52.240851 17.51462 Skotniki 68, 62-321 Skotniki, Poland
52.638651 17.719457 Ochodza 25, 62-240 Ochodza, Poland
52.430544 16.601863 Więckowicka 23, 62-080 Ceradz Kościelny, Poland
51.487004 21.807717 Oleksów 17, 26-920 Oleksów, Poland
50.439317 16.429741 Kryształowa 20, 57-330 Szczytna, Poland
51.967149 20.545018 Ługowa 35, 96-320 Mszczonów, Poland
52.999951 23.908873 Dworna 34, 16-050 Jałówka, Poland
